singer_id,technique,atlas_group,group_folder,song,wav_path,gt_lyrics,gt_lyrics_clean,asr_hypothesis,asr_hypothesis_raw,transcription_time_s,model
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0010.wav,we shall always be as one if you love me for me,we shall always be as one if you love me for me,Wish there'll always be a swan if you love me for me,Wish there'll always be a swan if you love me for me,0.45531201362609863,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0004.wav,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'll be sure if I knew that you loved me for me,I'll be sure if I knew that you loved me for me,0.4126410484313965,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0005.wav,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,Could I be the one you're seeking? Will I be the one you choose?,0.5261795520782471,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0011.wav,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise there will be?,Who can say where we'll go? Who can promise there will be?,0.459291934967041,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0007.wav,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,What you see maybe they see me True lies underneath the skin,What you see maybe they see me True lies underneath the skin,0.4471621513366699,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0012.wav,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I stay by your side if you love me for me.,But I stay by your side if you love me for me.,0.4376049041748047,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0006.wav,can you tell my heart is speaking my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is beaky? My eyes will give you clues.,Can you tell my heart is beaky? My eyes will give you clues.,0.5208394527435303,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0002.wav,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you loved me for me,I'll be glad if you loved me for me,0.3806164264678955,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0003.wav,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,You say your love is through and I hope that it will be,You say your love is through and I hope that it will be,0.4358103275299072,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0001.wav,you're a gentle one said she in my heart,youre a gentle one said she in my heart,You are gentle when set she in my heart,You are gentle when set she in my heart,0.347930908203125,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0000.wav,once a lass met a lad,once a lass met a lad,Once a last man o' let,Once a last man o' let,0.3118922710418701,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0008.wav,hope will blossom by believing the heart that lies within,hope will blossom by believing the heart that lies within,Hope will blossom by believing the heart that lies within,Hope will blossom by believing the heart that lies within,0.35971641540527344,small
EN-Alto-1,vibrato,control,Control_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Control_Group/0009.wav,<AP> i'll be yours together,ill be yours together,I'll bring us together,I'll bring us together,0.27312397956848145,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0010.wav,we shall always be as one if you love me for me,we shall always be as one if you love me for me,We shall always be as one if you love me for me.,We shall always be as one if you love me for me.,0.4174168109893799,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0004.wav,i'd be sure if i knew that you loved me for me,id be sure if i knew that you loved me for me,I'd be sure if I knew that you loved me for me.,I'd be sure if I knew that you loved me for me.,0.4359893798828125,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0005.wav,could i be the one you're seeking will i be the one you choose,could i be the one youre seeking will i be the one you choose,Could I be the one you're seeking? Will I be the one you choose?,Could I be the one you're seeking? Will I be the one you choose?,0.5271492004394531,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0011.wav,who can say where we'll go who can promise what will be,who can say where well go who can promise what will be,Who can say where we'll go? Who can promise what we'll be?,Who can say where we'll go? Who can promise what we'll be?,0.47448205947875977,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0007.wav,what you see may be deceiving truth lies underneath the skin,what you see may be deceiving truth lies underneath the skin,"What you see may be deceiving, Truth lies underneath the skin.","What you see may be deceiving, Truth lies underneath the skin.",0.43232107162475586,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0012.wav,but i'll stay by your side if you love me for me,but ill stay by your side if you love me for me,But I'll stay by your side if you love me for me.,But I'll stay by your side if you love me for me.,0.43354320526123047,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0006.wav,can you tell my heart is speaking <AP> my eyes will give you clues,can you tell my heart is speaking my eyes will give you clues,Can you tell my heart is big? My eyes will give you clues.,Can you tell my heart is big? My eyes will give you clues.,0.4930915832519531,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0002.wav,i'd be glad if you loved me for me,id be glad if you loved me for me,I'll be glad if you love me for me,I'll be glad if you love me for me,0.3741922378540039,small
EN-Alto-1,vibrato,technique,Vibrato_Group,if you love me for me,/content/drive/Othercomputers/Il mio laptop/Desktop/Music Information Retrieval/Project/atlas/English_raw/English/EN-Alto-1/Vibrato/if you love me for me/Vibrato_Group/0003.wav,you say your love is true and i hope that it will be,you say your love is true and i hope that it will be,You say your love is true and I hope that it will be,You say your love is true and I hope that it will be,0.4143378734588623,small
